Model,Load-1,Load-2,Load-3,Load-4,Load-5,Load-6,Load-7,Load-8,Load-9,Load-10,Load-11,Load-12,WorstLife
63,79785,25073,58071,64967,14265,55329,59272,13589,28346,51213,11464,2880,132631.422
64,50197,34119,9017,59679,21529,37342,11847,44553,46171,59211,49854,10732,70882.422
65,3812,56451,12464,37024,44616,12599,68603,40037,77218,68212,20352,44247,769175.812
66,67216,68572,60272,45461,63302,33104,45925,49173,5316,79646,50114,30787,538893.188
67,9557,23605,16416,31054,23991,31763,29700,72326,19645,47539,47465,44895,625506.188
68,73107,9339,57507,27168,51914,21907,35276,13433,61690,51158,58660,59316,164506.391
69,15462,26807,62336,52356,78542,32227,52772,75592,70947,10478,26155,65229,92568.18
70,527,17974,7885,15467,45832,9789,74561,26256,32804,63358,59550,47592,334092.562
71,37752,24232,47633,8974,2583,79,1716,44966,55851,72312,18023,26873,122278.289
72,45434,39647,62950,72292,61352,36969,67184,37034,30119,16492,27062,14456,185632.969
73,71825,50277,48788,32207,33070,64255,2735,34120,60847,6472,10612,71708,927492.125
74,53973,26506,12673,50829,69743,68083,78951,54162,52298,74226,63407,37106,277816.531
75,42394,44204,1449,60033,31664,22463,3752,37599,22692,54176,51257,79205,65237.629
76,34134,61921,61421,30774,17565,72135,49621,31741,10496,48669,12328,69383,241190.5
77,19066,7897,77291,19747,66515,25344,75497,72858,28546,137,39033,41977,19108.883
78,78314,62840,44478,31484,51622,68234,20280,52066,21889,44575,56918,21923,1369403.5
79,8938,38232,35805,48301,62787,30944,26704,54232,10015,34318,76533,71182,363635.375
80,44609,40553,5261,43542,72593,70832,24645,45278,44643,58076,56964,14759,160048.859
81,12459,41666,25185,18499,33262,11790,34760,32800,3169,12691,48660,61433,1329814.125
82,52609,31906,27909,78912,8399,49178,42269,10821,36356,68943,50087,50500,17230.727
83,70376,76572,72542,23408,53145,56846,42980,72408,34212,5536,43745,36415,96540.953
84,11904,17531,22552,5979,394,34299,72249,21281,51856,50026,73114,12639,748381.5
85,66563,33561,54457,35248,66178,62170,45,71611,19748,3045,3234,1712,322340.344
86,36991,37132,39502,12998,48728,25412,28342,7713,42262,11053,34603,32542,538784.25
87,71508,28658,7748,48746,64576,76704,59951,42734,59037,6342,79459,23562,388130.938
88,35855,14989,66112,52032,8010,9189,26793,72519,65173,61309,70,66979,70698.781
89,16413,51475,19911,28034,29525,2931,69266,30524,54730,11830,46057,20688,1009193.875
90,76069,77840,68355,31396,2551,15213,22187,41919,20874,48150,38814,51702,84825.711
91,17854,31388,55569,25941,36322,68720,3874,30403,26334,41509,7412,44298,260473
92,2554,69784,71102,7782,13041,40304,13766,18373,69887,77458,54752,59048,37239.652
93,45427,63245,15195,67318,44761,48920,23633,51965,67061,41193,20019,7803,108993.75
94,6270,6999,72993,28543,35806,7404,20246,46464,8958,39576,77619,49657,19989.398
95,57406,70906,19902,11356,10296,20381,18889,73116,57960,66444,71661,52893,278842.656
96,13614,59170,2346,19023,29255,43703,61423,4903,54073,34757,40162,52340,932746.25
97,14259,79073,65158,64451,55959,53095,59109,31474,50326,18980,63375,20957,177732.609
98,77370,28882,20762,21466,65834,52222,13074,25367,17459,15585,8023,72372,172762.156
99,42861,4030,45384,47380,59784,72134,1993,74773,71462,44824,54532,15781,638859.438
100,16988,49519,35157,12352,33837,78524,41801,75858,79131,73981,38468,54280,195408.703
101,38619,53599,76481,27443,39123,42383,59282,41426,63984,14537,58057,7532,43601.223
102,77359,3782,73710,63570,47433,51850,64821,68040,40597,24226,5091,10106,68866.773
103,34930,65131,69283,70018,27879,48200,9347,76918,29461,38067,4938,6926,145934.797
104,28913,26394,59640,74202,30557,55534,60075,33284,71581,46244,55974,5448,79644.43
105,15094,31630,8399,9713,31941,65831,17564,2575,58269,61321,67796,63481,981870.062
106,30333,28969,29757,32123,4772,12739,42775,72280,13809,59606,42620,33336,419215.312
107,6014,45072,18363,77436,58142,27374,23888,67286,16385,38770,13122,60106,39130.973
108,8162,65192,67301,38959,65302,39920,18481,79498,37481,75850,16589,31708,206616.75
109,2939,38478,31049,20347,58584,6608,39588,33033,20653,68214,57448,42747,159471.203
110,48148,16577,35100,7562,42243,17769,57240,23746,42699,70756,55444,23364,655392.688
111,45158,52785,55994,49091,39107,17792,47801,53813,17116,38838,78850,66289,481972.031
112,38657,18223,4177,65251,44201,23469,72231,46836,29056,47721,21000,27826,54951.078
113,65414,68140,1165,16806,59202,16758,23448,6331,47347,43012,55934,45947,131299.125
114,6738,18461,25699,28448,64759,10066,45158,58555,27026,41329,43938,72161,103510.922
115,63549,45492,61778,66777,9965,18723,2618,55154,54106,6493,59665,77591,72704.828
116,76932,37410,78271,6427,33244,46574,57198,40639,53967,34917,53925,79362,18716.193
117,43598,5031,12575,54066,6196,41231,35826,8361,11953,6801,76237,48155,65248.57
118,37178,8321,27834,55622,35155,30109,47519,65951,3066,56612,56930,20205,165440.797
119,26643,38341,59633,69484,40228,51311,22954,2771,53631,41698,67276,44500,162967.312
120,2370,45000,19342,73550,58884,10451,40161,3547,35433,46731,60374,63991,50161.695
121,69470,11412,51026,19822,16002,51061,7098,62641,43750,40110,52051,43997,180405.297
122,16489,71620,50478,48359,65138,74785,60494,59866,75562,44938,24469,58335,550740.375
123,9742,70871,10969,55327,18450,6657,34439,54750,56970,79531,59572,45892,89216.305
124,39578,2291,27233,66102,59392,75523,20818,49618,59870,43301,29815,17392,136704.562
125,37232,33221,1601,23531,16797,12036,69670,15672,13517,53847,54824,40082,542619.438
126,34613,29016,10929,35240,3415,16765,16817,38436,9531,34479,31101,78633,195167.672
127,25232,60049,77700,17024,48926,22122,74094,32832,70937,62223,39237,65447,32279.994
128,20044,63361,60365,31618,55951,24502,29372,60000,4887,37326,71393,20705,336261
129,70062,43651,47014,26362,33872,10969,12833,68228,79316,43123,68206,75700,556619.875
130,74983,28061,40497,38787,52607,5523,41306,6998,71100,57097,43862,49283,457885.906
131,68199,35966,33176,1153,17377,1014,8565,66450,6181,26983,20909,24179,570656.5
132,62667,78846,26466,20883,31802,12477,70787,12854,22830,79590,22343,74368,100760.219
133,7651,55899,67226,13766,33637,26138,33222,8721,59879,2907,15999,10355,68506.844
134,78101,40679,70732,30391,3146,29370,45431,42970,20186,69384,60543,18114,48657.91
135,76865,65076,46692,64197,48265,72678,29537,68127,76036,13047,69626,28117,356023.469
136,17056,40154,18145,4914,36819,49991,26498,46208,42242,44303,38300,42160,1682523.5
137,31605,16498,9092,39482,55683,2182,61087,48797,50233,72427,1472,43499,221706.969
138,15402,42421,69336,65421,75020,35897,78748,27297,16692,46713,7858,57705,210166.094
139,13951,53262,60346,20130,52296,29065,31850,16226,63995,17584,74973,78830,214688.609
140,66847,2215,32526,70285,12960,8982,45716,33871,8788,12462,48052,26507,22544.561
141,32987,1458,29591,5958,12783,31009,48961,11470,36231,2480,16634,15460,417764.406
142,28651,72357,69687,60094,76863,43855,23118,11973,65093,32717,20416,68891,161824.828
143,71601,16179,59663,75114,30825,61746,4778,30319,18750,50889,51649,47397,66141.438
144,43734,16774,64248,65581,21377,30491,37916,58044,30787,39648,36726,63436,115928.453
145,4020,34002,37362,7078,76434,50238,74299,5607,62815,17557,34495,23234,57552.793
146,4198,25632,38038,67990,1610,23683,16627,15406,44245,14092,22851,5287,29077.947
147,48248,64674,70438,42039,77861,39996,16882,3551,28519,69420,11821,45049,98489.867
148,62961,6498,55861,11790,42490,46093,20237,65410,66590,73161,63937,41742,118521.805
149,43839,22485,47212,79651,13802,31938,12066,46629,62604,55212,50547,44279,18858.123
150,69300,53702,17679,39952,41718,68159,6906,63159,33250,53544,78771,54032,487796.031
151,707,47435,17558,12021,54382,18736,39400,562,42330,44802,25198,57113,220109.469
152,36785,43966,10373,32477,15151,2892,43486,76741,24503,28718,76743,54948,348701.094
153,31599,66957,73985,37747,2535,74962,57109,45295,6261,18356,17231,75992,61316.68
154,34337,1896,77986,37156,1709,26583,57104,52986,64453,3017,38725,30130,12034.508
155,18027,78328,70300,40181,322,47522,28070,23078,72431,57497,4058,75368,89260.539
156,73003,22501,14935,50846,59635,37457,35136,43866,30488,563,32881,73374,413429.281
157,38540,63382,19226,11677,34903,9580,53371,53216,57785,4464,11397,42961,861052.438
158,35255,1196,55933,50230,65487,45556,11713,32887,38819,26663,8265,17000,342491.844
159,1483,16871,2820,22860,72723,20280,33451,49928,39769,11685,25375,75390,38511.195
160,73068,54452,52233,40779,39240,27352,65434,14742,13413,79243,70089,77211,612045.688
161,78870,28439,55431,40836,32396,13093,14476,4948,38467,51021,25003,55271,300084.219
162,40654,79644,59500,32350,58436,19436,7389,11372,72928,18600,64635,78618,137916.828
163,28997,17144,58612,16751,15877,37968,55663,64508,71562,50897,23741,72254,83318.953
164,65444,70213,31887,33451,66224,48693,23212,27896,75455,58405,9332,54587,287746.188
165,59162,58163,18057,69382,78552,28027,23659,77202,18822,48954,50823,18986,80549.078
166,59741,42355,33862,32176,32626,19953,61327,7621,61207,5809,30346,73657,1227613.75
167,56933,24170,61199,66359,27801,76575,26471,60632,30131,3409,6456,68512,183738.734
168,71774,13318,71436,65598,12674,27610,41432,57183,43761,64997,74465,66209,67543.398
169,2322,37374,22896,33285,19123,9992,5136,20900,32432,62931,17026,7328,404389.438
170,22922,3908,5176,18547,44078,44843,27430,33837,74811,36593,72876,27668,775884.312
171,69811,55048,62887,34852,13113,2581,3215,69328,37817,7664,25824,32366,134080.375
172,10825,74518,6572,6751,56854,6866,16130,35425,69060,41541,71576,42517,97374.664
173,65517,42957,35804,63618,13702,24346,23765,12323,30468,74163,70480,43504,74220.648
174,1608,63740,30378,12113,31943,62077,11716,58752,53641,79567,11399,19483,756506.375
175,29766,3849,41384,29142,79003,35384,61709,57788,59509,39314,4231,22699,48344.598
176,38267,42750,47209,246,53233,56787,21245,29757,16444,18645,57070,11608,446690.781
177,76933,47673,20306,58324,2587,27853,76474,56130,18658,66561,38551,35331,72960.93
178,36156,53357,29917,27110,6276,78431,61407,50109,69105,53156,33124,8693,173797.531
179,29603,44730,2229,44519,66229,72382,1114,56876,41186,69394,55066,35724,283060.281
180,7934,57004,59809,9197,56904,66100,9861,36568,12623,59150,36825,5243,206700.266
181,28029,78868,66690,22750,53284,30805,43154,50741,76083,315,73871,52168,156958.656
182,79353,6125,34127,6243,34913,68797,64810,3081,67268,49094,32027,70434,694180.188
183,40921,58048,41011,36597,60450,62304,40646,70378,74353,11646,12871,77391,549808.688
184,64042,16083,66273,75147,45094,61206,2974,6418,57400,42609,79333,19473,98306.93
185,46091,10055,78746,47959,13280,48983,61704,8706,34702,27968,71640,67379,21192.029
186,12384,41809,26738,28185,18666,39771,16348,40354,42558,8032,20462,23407,1154991.875
187,50637,30385,54724,12543,47896,70061,18645,64724,1367,73562,974,24940,259166.594
188,14273,73695,27549,70416,36383,69486,56098,44161,7021,67920,18169,50803,104292.891
189,37004,46380,11205,21330,30450,44988,73567,55326,8347,37202,110,25830,2269037.25
190,50783,40215,29933,31588,45090,9528,28901,5524,23878,21696,31735,20156,694700.438
191,3126,38114,38256,50429,13099,800,73383,3386,79350,59466,9826,2851,155378.344
192,68469,24437,44236,17215,79310,55493,43957,54576,56316,38188,7522,24148,55799.316
193,34383,11304,10579,3736,69076,1014,25047,37971,63309,29427,54355,30532,23354.65
194,21958,58705,58484,7413,44494,6587,45732,7574,52167,61147,47617,24413,163717.188
195,26218,38378,61474,12595,30639,29318,27692,13803,78814,68523,74565,27337,97759.234
196,67292,58794,57119,10549,65232,65973,5070,12499,48887,71434,34404,8123,274234.531
197,31200,10961,46183,41608,64971,26558,71249,40005,15563,2146,28482,27973,261894.859
198,32234,56659,32496,49669,62149,66799,2612,35220,16282,78233,64842,72651,672349.875
199,72900,54941,8267,46875,61973,9200,74933,31714,53721,54392,30838,46313,219517.125
200,21835,14291,19870,49534,33815,69755,27677,12603,2138,8660,37123,71601,306861
201,32280,69295,15786,33070,3565,17816,47097,53234,68870,60951,55583,72447,362013.844
202,45034,50237,71993,77596,4217,73110,31682,58498,73470,77643,11525,21574,49643.84
203,14476,70698,15932,57302,22923,17782,77171,52896,29871,14244,23825,77287,119645.43
204,56608,36784,5234,63656,42001,62060,30207,51357,29152,25478,17196,78844,104011.125
205,40936,30898,34986,14617,75660,7394,25305,6825,15264,62153,71995,22533,27122.996
206,46203,36266,74457,61532,69136,61684,15133,52799,65304,41237,53006,78292,115346.672
207,44096,53345,52822,14342,22552,45431,37963,50267,53926,62728,73298,9110,319346.125
208,30831,40832,9326,28178,47578,5266,66984,53617,39958,51428,25975,59672,432346.375
209,2152,39872,59674,74855,27081,1164,67515,23503,689,25043,39342,60317,42684.801
210,39966,9735,13794,79135,17706,6843,67784,48816,24422,18709,45284,5894,8328.698
211,67467,17696,2874,77643,8447,23854,51125,36786,53178,28622,78290,52090,8002.838
212,35512,24399,78968,32605,31855,58441,71351,71786,49284,12660,56252,46216,24034.162
213,18324,57041,51730,15939,23584,1472,26992,66601,6900,11022,59857,23553,269285.656
214,42196,30509,58865,45140,54463,15742,30308,70968,21419,53660,25706,45386,332458.281
215,48985,63766,34264,61663,66544,34576,75852,45632,49325,33733,69577,15199,405975.594
216,57689,64260,44558,53425,24729,73409,53023,56756,70695,10170,37160,5930,551941.75
217,30514,4016,1679,7470,43764,14982,34425,71744,25951,18334,66012,31651,279115.625
218,66203,12269,51353,32781,44654,34817,2248,39518,8455,50678,51949,46777,336697.938
219,39619,57785,28144,35346,48035,64204,67633,33846,19524,16004,71935,5251,1870586
220,32774,67314,1989,8902,18558,79146,32726,68666,56021,45559,37585,18450,133755
221,32800,47194,18510,58738,25910,3982,56952,59266,27516,27420,69088,56577,87396.508
222,75911,10303,2796,58527,68994,50181,42753,49498,64329,31652,25408,49576,178166.078
223,76101,47905,54986,56712,71717,13059,31292,61506,70830,38484,1874,62327,150074.594
224,68529,61546,49146,72387,21925,49619,36174,14599,33731,44351,51760,47986,79771.383
225,9410,71225,9193,2788,66894,60155,11622,55159,72325,43375,68972,20561,117505.633
226,25597,71555,38369,57284,11974,28073,57428,71210,38022,41442,43556,34693,166474.516
227,555,53307,38647,13052,13500,1286,2077,7147,26291,73274,25575,74857,494017.156
228,12352,21266,20470,72913,59779,79007,78019,73540,53656,61386,9805,73851,72408.633
229,69955,10766,52523,65420,75607,71716,8921,15100,17744,70699,20935,30483,197811.625
230,60154,17874,64217,9079,75781,34225,41845,14027,51067,32012,55145,25485,57928.445
231,3171,20733,70863,40662,67408,43212,32917,40728,5355,69120,45315,11050,73714.984
232,22132,28230,38706,51561,15127,54929,20797,47769,43146,17559,71433,22934,264968.281
233,30750,12909,12633,66182,63648,61985,18758,13976,71738,60616,75006,42440,107301.57
234,56850,2508,35984,5177,79663,56275,41077,62894,57814,57232,75227,44713,35868.98
235,50401,62473,50460,24937,8605,69192,4185,69411,54904,35537,59793,56998,533453.688
236,12831,5948,65283,75081,56223,14428,50820,34967,30738,78189,65136,54018,74534.398
237,72397,48011,33652,253,61882,3826,73700,24277,35527,43964,63902,27470,85094.188
238,57847,41380,47685,16605,26547,45089,71158,61924,58509,65035,56500,37082,502354.5
239,22669,23292,49264,41189,58251,75762,72729,48583,38771,9792,74373,7186,476109.844
240,9083,8913,1019,73731,62205,34568,18001,65460,40560,30590,19637,69848,28817.199
241,56563,68630,72564,15182,25701,47778,4392,57728,69329,52632,11752,23666,51778.996
242,78003,61322,78001,45834,44064,26199,52945,53289,67648,16200,30959,32819,54982.406
243,17894,28138,5533,50936,9330,40020,4893,12083,40983,44568,71277,74471,81507.102
244,61761,9692,45697,13675,47790,6057,9866,65239,29967,36473,73207,47792,265931.094
245,31225,22526,16620,74885,21255,10759,51063,57174,34004,59802,35640,49529,16164.971
246,68635,32197,55659,75638,15456,73622,35802,16866,44630,22213,21781,36929,54636.184
247,55687,11685,29107,31409,4993,15974,6392,21595,34020,18426,62808,31650,328466.344
248,38069,68291,14011,78831,65622,40501,23147,41159,27689,24872,30722,36654,49674.637
249,35997,40,76466,20731,59689,37408,12939,65540,43854,1908,49478,43893,16888.822
250,79445,40529,45414,60856,34153,28616,37011,63208,60550,60482,23189,50760,207819.844
251,9533,1738,11327,54023,78530,79930,41000,17486,69159,5748,49738,66815,91777.609
252,1605,57578,64406,64709,60106,3209,62487,46580,49423,53215,17667,19973,293827.156
253,59228,23378,65678,59537,6543,29420,59945,73566,16997,33113,76873,64917,123864.18
254,34385,59646,52006,70294,53982,41681,40189,43840,4724,44338,17437,32151,187952.828
255,33445,49429,14224,77794,67034,34796,17796,50647,5781,58158,52450,44731,48129.262
256,8894,39352,43232,911,40680,44071,46028,23073,77982,49110,34506,20679,428414.375
257,20216,26159,60113,67268,28241,42136,67078,16357,20335,41636,64983,57501,134000.016
258,3896,65559,54214,50919,4468,76078,40099,48069,73671,36597,32354,79218,279025.906
259,38082,24662,20902,58748,13594,27131,22003,67338,26854,44784,29619,33899,67656.992
260,44718,9091,26896,4458,59460,71873,73831,43563,34915,23721,16830,43108,343024.531
261,38083,48172,5621,18957,76396,59578,22591,52072,52256,15523,78168,61422,59635.699
262,6714,61425,3280,26286,7887,65969,3746,47346,9785,55764,29429,21933,619848.938
263,36181,41834,79949,14156,52268,47899,13127,20290,65615,51851,17191,6828,21119.25
264,49749,13955,76065,60068,47675,3802,35676,10145,12451,73487,71112,64843,43952.961
265,77407,28510,3013,63297,69437,41157,45970,72925,58041,78815,17652,47666,139686.703
266,22067,44995,7159,77863,4687,2032,46299,79516,11130,56837,69951,7189,7408.968
267,47514,79848,66983,17495,52958,54927,66622,26298,27299,9330,24729,56347,138400.422
268,75862,36561,46294,7785,73503,34323,36577,2520,77319,59382,55050,72748,65036.629
269,53607,46794,21874,50178,35693,24183,47166,74175,75937,36807,72455,19506,318600.875
270,63635,24755,44698,34465,11612,18488,67521,10929,66953,67641,54960,44777,519950.625
271,46663,20242,5273,32303,66350,41662,20894,75482,16105,77968,62108,48973,144792.547
272,63602,11416,11428,67504,31333,503,16523,76516,69764,10160,54887,54955,25490.623
273,3387,20109,47308,67228,29137,54594,49526,56839,44035,77956,8404,9050,104519.32
274,2965,34653,70848,30900,75529,64716,28249,24120,24855,56120,76713,19072,87851.867
275,52214,21328,44107,73060,48387,17901,22617,63081,65957,15036,69200,49424,64485.875
276,7634,68643,59382,49684,67631,23361,62125,35522,36210,57828,305,50126,302735.25
277,33449,38118,50584,17301,4817,39873,70268,22637,12934,61256,42465,49755,242328.438
278,22952,44746,24659,23963,5927,79432,49831,24145,18207,8559,68845,19685,132391.062
279,1200,45283,18926,46257,23485,25066,57580,71488,43232,46982,9629,22372,259276.766
280,67131,67487,59178,2685,72922,32227,78171,33387,61838,51244,27406,62590,83188.773
281,72986,56796,39695,13488,16658,3078,77210,20594,13472,11248,15185,75643,813904.312
282,57806,4251,54222,14154,33125,26744,49378,7206,11939,72107,57709,29832,110172.695
283,18765,71701,75031,11404,62249,22254,14063,6398,18403,70787,70691,47093,44972.883
284,59994,37425,72686,45740,2073,71391,70404,58341,37365,17831,11047,31330,62047.266
285,62661,5504,79930,29874,39324,19815,7508,78773,64296,36626,679,49401,13352.459
286,58685,20822,17591,27225,7123,65230,15079,61969,76004,72391,64725,40974,778162.188
287,65578,27332,51717,63044,19094,32872,77101,35937,18975,16406,63654,57923,128968.836
288,224,35037,23237,25323,23748,27091,72492,58828,66326,29154,12850,44217,1190157.75
289,66564,48592,70850,32999,30151,33289,2501,33159,40605,62192,74389,12873,74626.875
290,88,20646,50644,16828,9888,22995,69876,30574,15800,57757,54238,38884,118386.055
291,66343,62664,32336,71352,10786,1620,13445,70625,57732,2913,23424,78771,26769.129
292,64503,30951,60620,15526,68013,2069,58419,44735,38087,61689,30251,49586,79557.898
293,49110,74279,15220,35663,51384,27493,53548,23568,33738,51642,67247,15136,213274.031
294,75646,26293,14157,26618,50859,63371,56740,4481,43194,69575,25315,73308,1118069.25
295,56520,3182,25065,52504,15615,27835,68012,28283,10890,11772,20146,72698,112571.172
296,38509,41555,27363,47405,73005,33019,61275,72827,39064,18026,54484,13243,133634.641
297,41680,70214,74407,12751,23007,53102,1259,1968,9291,34335,77691,72019,38387.535
298,41359,30976,44355,39085,59789,41022,51397,52083,62188,63095,26173,70603,599382.812
299,60048,63906,33993,66251,18408,50973,67158,49585,18320,49510,49016,21540,103818.242
300,49313,10093,69217,6336,6535,52752,75003,37691,42413,14945,69376,62856,20859.096
301,37845,42568,75920,75060,33274,17564,67046,32815,69817,54850,24711,43934,79893.758
302,42097,10181,36395,41292,388,21998,71313,2824,78271,13169,70245,3360,222659.219
303,24254,48870,44141,27175,60723,29681,17593,14035,35418,14925,78542,38141,291198.531
304,37601,72447,50723,40828,35843,60310,8664,45901,28590,48528,4313,53112,442923.719
305,20562,58531,21420,79522,45021,19196,4121,58467,35574,31988,54391,25365,25235.867
306,35197,6372,43604,69341,32997,59813,13409,45943,54541,72901,55739,62999,81583.625
307,14154,7789,27786,77121,40787,38385,28874,7263,16423,55928,25840,12769,28099.141
308,37739,41010,36452,7288,49703,46091,48198,20146,8276,22656,21216,61150,773343.375
309,27594,667,4187,35060,56503,77231,77425,23281,70941,21911,4015,22235,313442.531
310,41981,14636,23548,45712,35929,60190,23963,20153,23758,60961,4887,53850,487294.438
311,15552,15820,78915,31384,4535,26610,72828,79275,52964,65059,632,3964,11917.009
312,57314,79104,20257,67019,74128,39232,47492,47452,68661,26528,7959,18278,132261.828
313,17952,60425,17791,7115,56692,5031,43255,43248,513,689,22387,39856,129083.609
314,69081,31086,34072,78062,35292,78494,49664,59418,59728,58099,63027,58339,45353.285
315,45535,37620,43185,62374,49856,56694,21165,75737,54491,29695,71322,40421,309693.938
316,51947,13370,62031,63424,47784,65921,3806,55843,19813,26713,59381,51803,296459.375
317,24497,17025,48665,7323,13747,31127,77173,23108,69562,24507,69593,61923,140965.594
318,6526,67975,78052,65772,36002,59213,22395,31596,48302,53704,988,16048,71300.203
319,49004,19637,30650,39887,75168,21920,37273,30453,31888,1902,49844,25502,65135.73
320,63958,74337,77259,8912,25694,77305,33802,11384,20325,32264,70819,10943,31825.066
321,63799,76012,44030,44252,30909,8212,49285,28721,31735,68920,69076,22044,223189.453
322,19823,30794,60628,77707,72383,54652,15840,55655,24612,23728,76316,16932,116370.078
323,52461,52306,68797,22589,31011,52229,26429,72749,3619,77185,12000,79446,89459.242
